occupation	href	task
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Examine whether the organization's objectives are reflected in its management activities, and whether employees understand the objectives.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Audit payroll and personnel records to determine unemployment insurance premiums, workers' compensation coverage, liabilities, and compliance with tax laws.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Review taxpayer accounts, and conduct audits on-site, by correspondence, or by summoning taxpayer to office.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Compute taxes owed and prepare tax returns, ensuring compliance with payment, reporting, or other tax requirements.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Advise clients in areas such as compensation, employee health care benefits, the design of accounting or data processing systems, or long-range tax or estate plans.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Direct activities of personnel engaged in filing, recording, compiling, and transmitting financial records.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Conduct pre-implementation audits to determine if systems and programs under development will work as planned.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Develop, maintain, or analyze budgets, preparing periodic reports that compare budgeted costs to actual costs.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Prepare, analyze, or verify annual reports, financial statements, and other records, using accepted accounting and statistical procedures to assess financial condition and facilitate financial planning.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Process invoices for payment.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Review data about material assets, net worth, liabilities, capital stock, surplus, income, or expenditures.
Actors	https://www.onetonline.org/link/summary/27-2011.00	Collaborate with other actors as part of an ensemble.
Actors	https://www.onetonline.org/link/summary/27-2011.00	Portray and interpret roles, using speech, gestures, and body movements, to entertain, inform, or instruct radio, film, television, or live audiences.
Actors	https://www.onetonline.org/link/summary/27-2011.00	Work closely with directors, other actors, and playwrights to find the interpretation most suited to the role.
Actors	https://www.onetonline.org/link/summary/27-2011.00	Perform humorous and serious interpretations of emotions, actions, and situations, using body movements, facial expressions, and gestures.
Actors	https://www.onetonline.org/link/summary/27-2011.00	Study and rehearse roles from scripts to interpret, learn and memorize lines, stunts, and cues as directed.
Actors	https://www.onetonline.org/link/summary/27-2011.00	Learn about characters in scripts and their relationships to each other to develop role interpretations.
Actors	https://www.onetonline.org/link/summary/27-2011.00	Attend auditions and casting calls to audition for roles.
Actors	https://www.onetonline.org/link/summary/27-2011.00	Sing or dance during dramatic or comedic performances.
Actors	https://www.onetonline.org/link/summary/27-2011.00	Work with other crew members responsible for lighting, costumes, make-up, and props.
Actors	https://www.onetonline.org/link/summary/27-2011.00	Tell jokes, perform comic dances, songs and skits, impersonate mannerisms and voices of others, contort face, and use other devices to amuse audiences.
Actors	https://www.onetonline.org/link/summary/27-2011.00	Read from scripts or books to narrate action or to inform or entertain audiences, utilizing few or no stage props.
Actors	https://www.onetonline.org/link/summary/27-2011.00	Promote productions using means such as interviews about plays or movies.
Actors	https://www.onetonline.org/link/summary/27-2011.00	Prepare and perform action stunts for motion picture, television, or stage productions.
Actors	https://www.onetonline.org/link/summary/27-2011.00	Write original or adapted material for dramas, comedies, puppet shows, narration, or other performances.
Actors	https://www.onetonline.org/link/summary/27-2011.00	Introduce performances and performers to stimulate excitement and coordinate smooth transition of acts during events.
Actors	https://www.onetonline.org/link/summary/27-2011.00	Dress in comical clown costumes and makeup, and perform comedy routines to entertain audiences.
Actors	https://www.onetonline.org/link/summary/27-2011.00	Construct puppets and ventriloquist dummies, and sew accessory clothing, using hand tools and machines.
Actors	https://www.onetonline.org/link/summary/27-2011.00	Perform original and stock tricks of illusion to entertain and mystify audiences, occasionally including audience members as participants.
Actuaries	https://www.onetonline.org/link/summary/15-2011.00	Ascertain premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits.
Actuaries	https://www.onetonline.org/link/summary/15-2011.00	Collaborate with programmers, underwriters, accounts, claims experts, and senior management to help companies develop plans for new lines of business or improvements to existing business.
Actuaries	https://www.onetonline.org/link/summary/15-2011.00	Analyze statistical information to estimate mortality, accident, sickness, disability, and retirement rates.
Actuaries	https://www.onetonline.org/link/summary/15-2011.00	Design, review, and help administer insurance, annuity and pension plans, determining financial soundness and calculating premiums.
Actuaries	https://www.onetonline.org/link/summary/15-2011.00	Determine, or help determine, company policy, and explain complex technical matters to company executives, government officials, shareholders, policyholders, or the public.
Actuaries	https://www.onetonline.org/link/summary/15-2011.00	Construct probability tables for events such as fires, natural disasters, and unemployment, based on analysis of statistical data and other pertinent information.
Actuaries	https://www.onetonline.org/link/summary/15-2011.00	Provide advice to clients on a contract basis, working as a consultant.
Actuaries	https://www.onetonline.org/link/summary/15-2011.00	Determine equitable basis for distributing surplus earnings under participating insurance and annuity contracts in mutual companies.
Actuaries	https://www.onetonline.org/link/summary/15-2011.00	Negotiate terms and conditions of reinsurance with other companies.
Actuaries	https://www.onetonline.org/link/summary/15-2011.00	Provide expertise to help financial institutions manage risks and maximize returns associated with investment products or credit offerings.
Actuaries	https://www.onetonline.org/link/summary/15-2011.00	Testify before public agencies on proposed legislation affecting businesses.
Actuaries	https://www.onetonline.org/link/summary/15-2011.00	Determine policy contract provisions for each type of insurance.
Actuaries	https://www.onetonline.org/link/summary/15-2011.00	Testify in court as expert witness or to provide legal evidence on matters such as the value of potential lifetime earnings of a person disabled or killed in an accident.
Actuaries	https://www.onetonline.org/link/summary/15-2011.00	Explain changes in contract provisions to customers.
Actuaries	https://www.onetonline.org/link/summary/15-2011.00	Manage credit and help price corporate security offerings.
Acupuncturists	https://www.onetonline.org/link/summary/29-1291.00	Develop individual treatment plans and strategies.
Acupuncturists	https://www.onetonline.org/link/summary/29-1291.00	Adhere to local, state, and federal laws, regulations, and statutes.
Acupuncturists	https://www.onetonline.org/link/summary/29-1291.00	Insert needles to provide acupuncture treatment.
Acupuncturists	https://www.onetonline.org/link/summary/29-1291.00	Identify correct anatomical and proportional point locations based on patients' anatomy and positions, contraindications, and precautions related to treatments, such as intradermal needles, moxibustion, electricity, guasha, or bleeding.
Acupuncturists	https://www.onetonline.org/link/summary/29-1291.00	Collect medical histories and general health and lifestyle information from patients.
Acupuncturists	https://www.onetonline.org/link/summary/29-1291.00	Treat patients using tools, such as needles, cups, ear balls, seeds, pellets, or nutritional supplements.
Acupuncturists	https://www.onetonline.org/link/summary/29-1291.00	Analyze physical findings and medical histories to make diagnoses according to Oriental medicine traditions.
Acupuncturists	https://www.onetonline.org/link/summary/29-1291.00	Maintain and follow standard quality, safety, environmental, and infection control policies and procedures.
Acupuncturists	https://www.onetonline.org/link/summary/29-1291.00	Educate patients on topics, such as meditation, ergonomics, stretching, exercise, nutrition, the healing process, breathing, or relaxation techniques.
Acupuncturists	https://www.onetonline.org/link/summary/29-1291.00	Dispense herbal formulas and inform patients of dosages and frequencies, treatment duration, possible side effects, and drug interactions.
Acupuncturists	https://www.onetonline.org/link/summary/29-1291.00	Maintain detailed and complete records of health care plans and prognoses.
Acupuncturists	https://www.onetonline.org/link/summary/29-1291.00	Assess patients' general physical appearance to make diagnoses.
Acupuncturists	https://www.onetonline.org/link/summary/29-1291.00	Formulate herbal preparations to treat conditions considering herbal properties, such as taste, toxicity, effects of preparation, contraindications, and incompatibilities.
Acupuncturists	https://www.onetonline.org/link/summary/29-1291.00	Apply heat or cold therapy to patients using materials, such as heat pads, hydrocollator packs, warm compresses, cold compresses, heat lamps, or vapor coolants.
Acupuncturists	https://www.onetonline.org/link/summary/29-1291.00	Consider Western medical procedures in health assessment, health care team communication, and care referrals.
Acupuncturists	https://www.onetonline.org/link/summary/29-1291.00	Evaluate treatment outcomes and recommend new or altered treatments as necessary to further promote, restore, or maintain health.
Acupuncturists	https://www.onetonline.org/link/summary/29-1291.00	Treat medical conditions, using techniques such as acupressure, shiatsu, or tuina.
Acupuncturists	https://www.onetonline.org/link/summary/29-1291.00	Apply moxibustion directly or indirectly to patients using Chinese, non-scarring, stick, or pole moxa.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Perform emergency medical procedures, such as basic cardiac life support (BLS), advanced cardiac life support (ACLS), and other condition-stabilizing interventions.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Manage patients' pain relief and sedation by providing pharmacologic and non-pharmacologic interventions, monitoring patients' responses, and changing care plans accordingly.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Document data related to patients' care, including assessment results, interventions, medications, patient responses, or treatment changes.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Diagnose acute or chronic conditions that could result in rapid physiological deterioration or life-threatening instability.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Administer blood and blood product transfusions or intravenous infusions, monitoring patients for adverse reactions.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Assess urgent and emergent health conditions, using both physiologically and technologically derived data.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Assess the impact of illnesses or injuries on patients' health, function, growth, development, nutrition, sleep, rest, quality of life, or family, social and educational relationships.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Interpret information obtained from electrocardiograms (EKGs) or radiographs (x-rays).
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Obtain specimens or samples for laboratory work.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Collaborate with patients to plan for future health care needs or to coordinate transitions and referrals.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Refer patients for specialty consultations or treatments.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Set up, operate, or monitor invasive equipment and devices, such as colostomy or tracheotomy equipment, mechanical ventilators, catheters, gastrointestinal tubes, and central lines.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Discuss illnesses and treatments with patients and family members.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Distinguish between normal and abnormal developmental and age-related physiological and behavioral changes in acute, critical, and chronic illness.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Collaborate with members of multidisciplinary health care teams to plan, manage, or assess patient treatments.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Assess the needs of patients' family members or caregivers.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Perform administrative duties that facilitate admission, transfer, or discharge of patients.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Provide formal and informal education to other staff members.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Read current literature, talk with colleagues, and participate in professional organizations or conferences to keep abreast of developments in acute care.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Treat wounds or superficial lacerations.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Participate in patients' care meetings and conferences.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Participate in the development of practice protocols.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Adjust settings on patients' assistive devices, such as temporary pacemakers.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Order, perform, or interpret the results of diagnostic tests and screening procedures based on assessment results, differential diagnoses, and knowledge about age, gender and health status of clients.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Analyze the indications, contraindications, risk complications, and cost-benefit tradeoffs of therapeutic interventions.
Acute Care Nurses	https://www.onetonline.org/link/summary/29-1141.01	Assist patients in organizing their health care system activities.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Adapt instructional techniques to the age and skill levels of students.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Instruct students, using adapted physical education techniques, to improve physical fitness, gross motor skills, perceptual motor skills, or sports and game achievement.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Provide individual or small groups of students with adapted physical education instruction that meets desired physical needs or goals.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Provide students positive feedback to encourage them and help them develop an appreciation for physical education.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Establish and maintain standards of behavior to create safe, orderly, and effective environments for learning.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Provide adapted physical education services to students with intellectual disabilities, autism, traumatic brain injury, orthopedic impairments, or other disabling condition.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Assess students' physical progress or needs.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Assist in screening or placement of students in adapted physical education programs.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Evaluate the motor needs of individual students to determine their need for adapted physical education services.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Collaborate with other educational personnel to provide inclusive activities or programs for children with disabilities.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Maintain thorough student records to document attendance, participation, or progress, ensuring confidentiality of all records.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Advise education professionals of students' physical abilities or disabilities and the accommodations required to enhance their school performance.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Communicate behavioral observations and student progress reports to students, parents, teachers, or administrators.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Write or modify individualized education plans (IEPs) for students with intellectual or physical disabilities.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Write reports to summarize student performance, social growth, or physical development.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Prepare lesson plans in accordance with individualized education plans (IEPs) and the functional abilities or needs of students.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Attend in-service training, workshops, or meetings to keep abreast of current practices or trends in adapted physical education.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Review adapted physical education programs or practices to ensure compliance with government or other regulations.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Request or order physical education equipment, following standard procedures.
Adapted Physical Education Specialists	https://www.onetonline.org/link/summary/25-2059.01	Maintain inventory of instructional equipment, materials, or aids.
Adhesive Bonding Machine Operators and Tenders	https://www.onetonline.org/link/summary/51-9191.00	Align and position materials being joined to ensure accurate application of adhesive or heat sealing.
Adhesive Bonding Machine Operators and Tenders	https://www.onetonline.org/link/summary/51-9191.00	Adjust machine components according to specifications such as widths, lengths, and thickness of materials and amounts of glue, cement, or adhesive required.
Adhesive Bonding Machine Operators and Tenders	https://www.onetonline.org/link/summary/51-9191.00	Monitor machine operations to detect malfunctions and report or resolve problems.
Adhesive Bonding Machine Operators and Tenders	https://www.onetonline.org/link/summary/51-9191.00	Start machines, and turn valves or move controls to feed, admit, apply, or transfer materials and adhesives, and to adjust temperature, pressure, and time settings.
Adhesive Bonding Machine Operators and Tenders	https://www.onetonline.org/link/summary/51-9191.00	Fill machines with glue, cement, or adhesives.
Adhesive Bonding Machine Operators and Tenders	https://www.onetonline.org/link/summary/51-9191.00	Perform test production runs and make adjustments as necessary to ensure that completed products meet standards and specifications.
Adhesive Bonding Machine Operators and Tenders	https://www.onetonline.org/link/summary/51-9191.00	Examine and measure completed materials or products to verify conformance to specifications, using measuring devices such as tape measures, gauges, or calipers.
Adhesive Bonding Machine Operators and Tenders	https://www.onetonline.org/link/summary/51-9191.00	Read work orders and communicate with coworkers to determine machine and equipment settings and adjustments and supply and product specifications.
Adhesive Bonding Machine Operators and Tenders	https://www.onetonline.org/link/summary/51-9191.00	Remove and stack completed materials or products, and restock materials to be joined.
Adhesive Bonding Machine Operators and Tenders	https://www.onetonline.org/link/summary/51-9191.00	Observe gauges, meters, and control panels to obtain information about equipment temperatures and pressures, or the speed of feeders or conveyors.
Adhesive Bonding Machine Operators and Tenders	https://www.onetonline.org/link/summary/51-9191.00	Maintain production records such as quantities, dimensions, and thicknesses of materials processed.
Adhesive Bonding Machine Operators and Tenders	https://www.onetonline.org/link/summary/51-9191.00	Remove jammed materials from machines and readjust components as necessary to resume normal operations.
Adhesive Bonding Machine Operators and Tenders	https://www.onetonline.org/link/summary/51-9191.00	Mount or load material such as paper, plastic, wood, or rubber in feeding mechanisms of cementing or gluing machines.
Adhesive Bonding Machine Operators and Tenders	https://www.onetonline.org/link/summary/51-9191.00	Transport materials, supplies, and finished products between storage and work areas, using forklifts.
Adhesive Bonding Machine Operators and Tenders	https://www.onetonline.org/link/summary/51-9191.00	Clean and maintain gluing and cementing machines, using solutions, lubricants, brushes, and scrapers.
Adhesive Bonding Machine Operators and Tenders	https://www.onetonline.org/link/summary/51-9191.00	Measure and mix ingredients to prepare glue.
Administrative Law Judges, Adjudicators, and Hearing Officers	https://www.onetonline.org/link/summary/23-1021.00	Determine existence and amount of liability according to current laws, administrative and judicial precedents, and available evidence.
Administrative Law Judges, Adjudicators, and Hearing Officers	https://www.onetonline.org/link/summary/23-1021.00	Monitor and direct the activities of trials and hearings to ensure that they are conducted fairly and that courts administer justice while safeguarding the legal rights of all involved parties.
Administrative Law Judges, Adjudicators, and Hearing Officers	https://www.onetonline.org/link/summary/23-1021.00	Prepare written opinions and decisions.
Administrative Law Judges, Adjudicators, and Hearing Officers	https://www.onetonline.org/link/summary/23-1021.00	Authorize payment of valid claims and determine method of payment.
Administrative Law Judges, Adjudicators, and Hearing Officers	https://www.onetonline.org/link/summary/23-1021.00	Conduct hearings to review and decide claims regarding issues, such as social program eligibility, environmental protection, or enforcement of health and safety regulations.
Administrative Law Judges, Adjudicators, and Hearing Officers	https://www.onetonline.org/link/summary/23-1021.00	Research and analyze laws, regulations, policies, and precedent decisions to prepare for hearings and to determine conclusions.
Administrative Law Judges, Adjudicators, and Hearing Officers	https://www.onetonline.org/link/summary/23-1021.00	Review and evaluate data on documents, such as claim applications, birth or death certificates, or physician or employer records.
Administrative Law Judges, Adjudicators, and Hearing Officers	https://www.onetonline.org/link/summary/23-1021.00	Recommend the acceptance or rejection of claims or compromise settlements according to laws, regulations, policies, and precedent decisions.
Administrative Law Judges, Adjudicators, and Hearing Officers	https://www.onetonline.org/link/summary/23-1021.00	Rule on exceptions, motions, and admissibility of evidence.
Administrative Law Judges, Adjudicators, and Hearing Officers	https://www.onetonline.org/link/summary/23-1021.00	Explain to claimants how they can appeal rulings that go against them.
Administrative Law Judges, Adjudicators, and Hearing Officers	https://www.onetonline.org/link/summary/23-1021.00	Confer with individuals or organizations involved in cases to obtain relevant information.
Administrative Law Judges, Adjudicators, and Hearing Officers	https://www.onetonline.org/link/summary/23-1021.00	Issue subpoenas and administer oaths in preparation for formal hearings.
Administrative Law Judges, Adjudicators, and Hearing Officers	https://www.onetonline.org/link/summary/23-1021.00	Schedule hearings.
Administrative Law Judges, Adjudicators, and Hearing Officers	https://www.onetonline.org/link/summary/23-1021.00	Conduct studies of appeals procedures in field agencies to ensure adherence to legal requirements and to facilitate determination of cases.
Administrative Services Managers	https://www.onetonline.org/link/summary/11-3012.00	Prepare and review operational reports and schedules to ensure accuracy and efficiency.
Administrative Services Managers	https://www.onetonline.org/link/summary/11-3012.00	Set goals and deadlines for the department.
Administrative Services Managers	https://www.onetonline.org/link/summary/11-3012.00	Acquire, distribute and store supplies.
Administrative Services Managers	https://www.onetonline.org/link/summary/11-3012.00	Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.
Administrative Services Managers	https://www.onetonline.org/link/summary/11-3012.00	Conduct classes to teach procedures to staff.
Administrative Services Managers	https://www.onetonline.org/link/summary/11-3012.00	Plan, administer, and control budgets for contracts, equipment, and supplies.
Administrative Services Managers	https://www.onetonline.org/link/summary/11-3012.00	Hire and terminate clerical and administrative personnel.
Administrative Services Managers	https://www.onetonline.org/link/summary/11-3012.00	Direct or coordinate the supportive services department of a business, agency, or organization.
Administrative Services Managers	https://www.onetonline.org/link/summary/11-3012.00	Communicate with and provide guidance for external vendors and service providers to ensure the organization, department, or work unit's business needs are met.
Administrative Services Managers	https://www.onetonline.org/link/summary/11-3012.00	Develop operational standards and procedures for the work unit or department.
Administrative Services Managers	https://www.onetonline.org/link/summary/11-3012.00	Establish work procedures or schedules to organize the daily work of administrative staff.
Administrative Services Managers	https://www.onetonline.org/link/summary/11-3012.00	Learn to operate new office technologies as they are developed and implemented.
Administrative Services Managers	https://www.onetonline.org/link/summary/11-3012.00	Manage paper or electronic filing systems by recording information, updating paperwork, or maintaining documents, such as attendance records or correspondence.
Administrative Services Managers	https://www.onetonline.org/link/summary/11-3012.00	Meet with other departmental leaders to establish organizational goals, strategic plans, and objectives, as well as make decisions about personnel, resources, and space or equipment needs.
Administrative Services Managers	https://www.onetonline.org/link/summary/11-3012.00	Oversee payroll functions, such as maintaining timekeeping information and processing and submitting payroll.
Administrative Services Managers	https://www.onetonline.org/link/summary/11-3012.00	Read through contracts, regulations, and procedural guidelines to ensure comprehension and compliance.
Administrative Services Managers	https://www.onetonline.org/link/summary/11-3012.00	Represent work unit at meetings or conferences and serve as liaison for requests or complaints.
Administrative Services Managers	https://www.onetonline.org/link/summary/11-3012.00	Supervise administrative staff and provide training and orientation to new staff.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Observe and evaluate students' work to determine progress and make suggestions for improvement.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Observe students to determine qualifications, limitations, abilities, interests, and other individual characteristics.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Establish clear objectives for all lessons, units, and projects and communicate those objectives to students.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Prepare students for further education by encouraging them to explore learning opportunities and to persevere with challenging tasks.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Prepare materials and classrooms for class activities.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Assign and grade class work and homework.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Maintain accurate and complete student records as required by laws or administrative policies.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Conduct classes, workshops, and demonstrations to teach principles, techniques, or methods in subjects, such as basic English language skills, life skills, and workforce entry skills.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Establish and enforce rules for behavior and procedures for maintaining order among the students for whom they are responsible.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Prepare and administer written, oral, and performance tests and issue grades in accordance with performance.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Prepare and implement remedial programs for students requiring extra help.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Prepare for assigned classes and show written evidence of preparation upon request of immediate supervisors.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Enforce administration policies and rules governing students.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Use computers, audio-visual aids, and other equipment and materials to supplement presentations.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Prepare reports on students and activities as required by administration.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Review instructional content, methods, and student evaluations to assess strengths and weaknesses, and to develop recommendations for course revision, development, or elimination.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Register, orient, and assess new students according to standards and procedures.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Collaborate with other teachers and professionals in the development of instructional programs.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Attend staff meetings and serve on committees, as required.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Meet with other professionals to discuss individual students' needs and progress.
Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors	https://www.onetonline.org/link/summary/25-3011.00	Guide and counsel students with adjustment or academic problems or special academic interests.
