job_title	job_description
Préposé au service à la clientèle (horaire de soir)	"Fournir ou demander, par téléphone, entrevue ou correspondance, des informations relatives à l'un ou l'autre des services de l'administration de l'assurance de personnes. 
Effectuer les recherches nécessaires pour donner suite aux informations demandées par téléphone, entrevue ou correspondance. 
Communiquer avec les autres directions de l'assurance de personnes, via une procédure établie pour obtenir les renseignements permettant de répondre à la demande de service du client. 
Dicter, corriger et signer ses lettres. 
Participer au réseau téléphonique, mis sur pied lors des campagnes d'inscription, pour fournir les renseignements nécessaires aux assurés. 
Offrir, par écrit ou par téléphone, des services ou produits du <anon_company>. 
Effectuer, occasionnellement, différents travaux dans les diverses directions de l'administration des contrats selon les besoins des directions. 
Gérer ses activités quotidiennes selon les règles établies avec l'outil « <anon_misc> ». 
Effectuer occasionnellement des sondages téléphoniques selon les besoins de la Société. 
Effectuer des demandes de remboursement à la suite d'une vérification d'un dossier ou de la liste des déchéances rétroactives. 
Annuler ou encaisser des chèques <anon_company> ou d'assurés et demander via la procédure établie l'émission de chèques par l’administration. 
Participer régulièrement à une formation continue pour le perfectionnement des connaissances à maîtriser dans l'exécution des tâches quotidiennes et la transmission des informations aux clients. 
Interpréter les demandes des clients afin de soumettre des suggestions d’amélioration dans la direction. 
Maîtriser les modalités, cibler et référer les assurés aux différents programmes gouvernementaux (SAAQ, CSST, RRQ, CARRA, RAMQ, etc.). 
Participer aux travaux collectifs organisés par la direction. 
Exercer d'autres fonctions sur demande."
Préposé à l’administration des contrats 	"Planifier et coordonner en équipe les activités inhérentes à une saine gestion des dossiers des clients en respectant les normes de qualité et de quantité. 
Collaborer avec les autres dans le but d’atteindre des objectifs communs. 
Aborder un problème dans son ensemble afin d'en déterminer avec précision son origine, les causes et d'identifier les solutions pertinentes. 
Adhérer à la vision de l'entreprise, à sa mission, à ses valeurs corporatives et aux objectifs à atteindre. 
Effectuer des adhésions et des changements de protections, d'adresses, de bénéficiaires et autres opérations de mise à jour des dossiers des adhérents; effectuer des terminaisons de groupes ou d'adhérents. 
Préparer, vérifier et contrôler l'inscription des nouveaux groupes et effectuer les modifications demandées lors des transferts ou renouvellements de groupes. 
Vérifier et balancer les encaissements relatifs aux primes d’assurance; s’assurer que les changements indiqués par les responsables de groupes sont conformes aux contrats; calculer les taux de primes et vérifier qu’ils ont été appliqués correctement; enregistrer et modifier des comptes à recevoir; effectuer des encaissements et des retraits; préparer des factures d'ajustement ou des demandes de remboursement. 
Effectuer les recherches nécessaires pour donner suite au courrier quotidien. 
Fournir ou demander, par téléphone ou correspondance, des informations relatives aux activités du service. 
Analyser et corriger certains cas rejetés lors des traitements informatiques en référence avec le fichier des assurés, le fichier des groupes et le fichier de revenu de primes. 
Utiliser l’intranet et l’extranet du service, les logiciels de la suite Microsoft (Excel, Word, Outlook), <anon_misc>, <anon_misc>, les logiciels de gestion des tâches et de gestion numérique des dossiers. 
Utiliser des systèmes externes (par exemple <anon_misc> et <anon_misc>) afin de mettre à jour les informations relatives aux cartes d’assurance pour le paiement de prestations pré-approuvé chez un fournisseur de service; vérifier et corriger les cas rejetés lors des traitements informatiques et régler les cas soumis par le service à la clientèle suite à une demande des adhérents. 
Participer aux travaux collectifs organisés sous la supervision du service. 
Exercer d'autres fonctions sur demande."
Préposé au service à la clientèle (horaire de soir avec prime d’agent responsable de 16 h à 20 h)	"Fournir ou demander, par téléphone, entrevue ou correspondance, des informations relatives à l'un ou l'autre des services de l'administration de l'assurance collective. 
Effectuer les recherches nécessaires pour donner suite aux informations demandées par téléphone, entrevue ou correspondance. Communiquer avec les autres directions de l'assurance collective, selon une procédure établie pour obtenir les renseignements permettant de répondre à la demande de service du client. 
Dicter, corriger et signer ses lettres. 
Offrir, par écrit ou par téléphone, des services ou produits du <anon_company>. 
Gérer ses activités quotidiennes selon les règles établies avec l'outil « <anon_misc> ». 
Effectuer occasionnellement des sondages téléphoniques selon les besoins de la Société. 
Effectuer des demandes de remboursement à la suite d'une vérification d'un dossier ou de la liste des déchéances rétroactives. 
Annuler ou encaisser des chèques <anon_company> ou d'assurés et demander selon la procédure établie l'émission de chèques par l’administration. 
Participer régulièrement à une formation continue pour le perfectionnement des connaissances à maîtriser dans l'exécution des tâches quotidiennes et la transmission des informations aux clients. 
Interpréter les demandes des clients afin de soumettre des suggestions d’amélioration dans la direction. 
Maîtriser les modalités, cibler et référer les assurés aux différents programmes gouvernementaux (SAAQ, CSST, RRQ, CARRA, RAMQ, etc.). 
Participer aux travaux collectifs organisés par la direction. 
Exercer d'autres fonctions sur demande. 
Distribuer et superviser le travail des employés tout en s’assurant que les normes de qualité sont rencontrées. 
Agir à titre de personne-ressource auprès des employés en fournissant les renseignements et les informations nécessaires à l’accomplissement de leur travail, les guider dans les différents documents de références et dans l’utilisation des outils de travail. 
Juger et régler les cas complexes relatifs aux activités du service."
Technicien en administration des contrats – anglophone	"Analyser les méthodes de travail des preneurs et développer des outils de travail afin de faciliter le traitement interne. 
Communiquer avec les administrateurs des régimes d’assurance afin de les sensibiliser et de les guider en matière de gestion administrative d’assurance. 
Effectuer les opérations techniques ou complexes reliées à la mise en place des nouveaux groupes, aux renouvellements de groupes, aux mouvements des adhérents, à l’adhésion, à la facturation et à l’encaissement. 
S’assurer que les besoins en matière de gestion administrative des administrateurs des régimes d’assurance soient bien définis, en collaboration avec le service de l’actuariat et les services des ventes. 
Maintenir à jour l’intranet et l’extranet du service. 
Fournir un support technique aux différentes équipes impliquées dans la gestion des groupes. 
Maîtriser les systèmes de paie des clients. 
Rédiger les procédures de travail. 
Représenter la Société auprès des tribunaux administratifs et judiciaires. 
Préparer et fournir les rapports d’assurance qualité et les remettre à l’équipe de gestion du service. 
Fournir ou demander, par téléphone, entrevue ou correspondance des informations relatives aux activités du service (fournisseurs, clients externes, etc.). 
Participer, avec le service Systèmes administratifs – Assurance collective ainsi que les analystes, à la réalisation des essais de systèmes interactifs. 
Participer aux travaux collectifs organisés sous la supervision du service. 
Exécuter toute autre tâche ou fonction sur demande. 
Produire une solution efficace basée sur une bonne cueillette d'information suivie d'une analyse rigoureuse et logique. 
Écouter attentivement son interlocuteur, faire ressortir les éléments essentiels et en valider la compréhension. 
Démontrer de la flexibilité à se libérer de règles, de façons de faire et d'attitudes personnelles qui ne sont pas en harmonie avec les exigences de la situation et en adopter de nouvelles. 
Entrer en contact et transiger efficacement avec les gens en ayant une communication ouverte et honnête tout en respectant les différences d'opinions. 
Rechercher sans cesse la qualité et l'excellence dans ses méthodes de travail, dans le service fourni et le produit à vendre. 
Discerner et percevoir les signes avant-coureurs des changements à venir. 
Poser les gestes adéquats qui produiront les résultats attendus au meilleur coût. 
Pouvoir travailler sans surveillance, par soi-même, sans dépendre des autres, ni attendre des directives pour exécuter des projets ou des activités. 
Démontrer par des gestes concrets son engagement réel à réaliser ses idées, ses projets et ses objectifs. 
Tenir des propos concrets et proposer des solutions pratiques et pragmatiques. 
Déterminer l'objectif du message à transmettre, utiliser le langage approprié et le rédiger avec clarté et précision. 
Communiquer et véhiculer des idées et des projets de changements et en assurer l'implantation."
Préposé au service à la clientèle 	"Fournir ou demander, par téléphone, entrevue ou correspondance, des informations relatives à l'un ou l'autre des services de l'administration de l'Assurance collective. 
Effectuer les recherches nécessaires pour donner suite aux informations demandées par téléphone, entrevue ou correspondance. 
Communiquer avec les autres directions de l'Assurance collective, selon une procédure établie pour obtenir les renseignements permettant de répondre à la demande de service du client. 
Dicter, corriger et signer ses lettres. 
Participer au réseau téléphonique, mis sur pied lors des campagnes d'inscription, pour fournir les renseignements nécessaires aux assurés. 
Offrir, par écrit ou par téléphone, des services ou produits du <anon_company>. 
Effectuer, occasionnellement, différents travaux dans les diverses directions de l'administration des contrats selon les besoins des directions. 
Gérer ses activités quotidiennes selon les règles établies avec l'outil « <anon_misc> ». 
Effectuer occasionnellement des sondages téléphoniques selon les besoins de la Société. 
Effectuer des demandes de remboursement à la suite d'une vérification d'un dossier ou de la liste des déchéances rétroactives. 
Annuler ou encaisser des chèques <anon_company> ou d'assurés et demander selon la procédure établie l'émission de chèques par l’administration. 
Participer régulièrement à une formation continue pour le perfectionnement des connaissances à maîtriser dans l'exécution des tâches quotidiennes et la transmission des informations aux clients. 
Interpréter les demandes des clients afin de soumettre des suggestions d’amélioration dans la direction. 
Maîtriser les modalités, cibler et référer les assurés aux différents programmes gouvernementaux (SAAQ, CSST, RRQ, CARRA, RAMQ, etc.). 
Participer aux travaux collectifs organisés par la direction. 
Exercer d'autres fonctions sur demande."
Agent de règlement (niveau II)	"Effectuer l’analyse de tous les renseignements pertinents à la détermination des obligations de <anon_company> : dispositions contractuelles, preuves médicales, facteurs nonmédicaux, programmes gouvernementaux, législation, politiques et procédures internes. 
Communiquer avec tous les intervenants impliqués aux dossiers afin de rassembler tous les renseignements pertinents et transmettre les décisions et les plans d’action relatifs aux demandes de règlements. 
Faire une sélection et une utilisation judicieuses et appropriées des interventions internes et externes : références des dossiers aux médecins-conseils, au supérieur, à une firme en réadaptation, à un médecin expert, à une firme d’évaluation des capacités résiduelles, à une firme d’enquêtes, au réassureur, etc. 
Interagir avec les mandataires externes de manière à faire respecter les objectifs et les budgets qui leur sont donnés et s’assurer d’une bonne évolution des interventions. 
Effectuer le service à la clientèle pour les dossiers qui lui sont attribués en répondant aux appels de toutes les parties prenantes aux dossiers. 
Élaborer et mettre en œuvre les interventions qui réduisent la durée des invalidités. 
Interagir avec les systèmes informatiques pertinents pour mettre à jour les données et effectuer les paiements le cas échéant en tenant compte des particularités propres aux contrats et aux directives internes. 
Participer, à l’occasion, à des rencontres avec les preneurs afin de procéder à la revue critique de dossiers 
Recommander des mesures destinées à améliorer les réalisations de la direction principale en matière de service et de productivité. 
Acquérir et maintenir de façon proactive une connaissance des outils, des politiques, des processus, des produits et des services. 
Effectuer certaines tâches techniques et administratives pour appuyer la gestion des dossiers. 
Aider, à l’occasion, les employés moins expérimentés et collaborer à des projets spécifiques. 
Exercer d’autres fonctions sur demande."
Préposé au service à la clientèle	"Fournir ou demander, par téléphone, entrevue ou correspondance, des informations relatives à l'un ou l'autre des services de l'administration de l'Assurance collective. 
Effectuer les recherches nécessaires pour donner suite aux informations demandées par téléphone, entrevue ou correspondance. 
Communiquer avec les autres directions de l'Assurance collective, selon une procédure établie pour obtenir les renseignements permettant de répondre à la demande de service du client. 
Dicter, corriger et signer ses lettres. 
Participer au réseau téléphonique, mis sur pied lors des campagnes d'inscription, pour fournir les renseignements nécessaires aux assurés. 
Offrir, par écrit ou par téléphone, des services ou produits du <anon_company>. 
Effectuer, occasionnellement, différents travaux dans les diverses directions de l'administration des contrats selon les besoins des directions. 
Gérer ses activités quotidiennes selon les règles établies avec l'outil « <anon_misc> ». 
Effectuer occasionnellement des sondages téléphoniques selon les besoins de la Société. 
Effectuer des demandes de remboursement à la suite d'une vérification d'un dossier ou de la liste des déchéances rétroactives. 
Annuler ou encaisser des chèques <anon_company> ou d'assurés et demander selon la procédure établie l'émission de chèques par l’administration. 
Participer régulièrement à une formation continue pour le perfectionnement des connaissances à maîtriser dans l'exécution des tâches quotidiennes et la transmission des informations aux clients. 
Interpréter les demandes des clients afin de soumettre des suggestions d’amélioration dans la direction. 
Maîtriser les modalités, cibler et référer les assurés aux différents programmes gouvernementaux (SAAQ, CSST, RRQ, CARRA, RAMQ, etc.). 
Participer aux travaux collectifs organisés par la direction. 
Exercer d'autres fonctions sur demande."
Préposé au service à la clientèle (horaire de soir)	"Fournir ou demander, par téléphone, entrevue ou correspondance, des informations relatives à l'un ou l'autre des services de l'administration de l'assurance de personnes. 
Effectuer les recherches nécessaires pour donner suite aux informations demandées par téléphone, entrevue ou correspondance. 
Communiquer avec les autres directions de l'assurance de personnes, via une procédure établie pour obtenir les renseignements permettant de répondre à la demande de service du client. 
Dicter, corriger et signer ses lettres. 
Participer au réseau téléphonique, mis sur pied lors des campagnes d'inscription, pour fournir les renseignements nécessaires aux assurés. 
Offrir, par écrit ou par téléphone, des services ou produits du <anon_company>. 
Effectuer, occasionnellement, différents travaux dans les diverses directions de l'administration des contrats selon les besoins des directions. 
Gérer ses activités quotidiennes selon les règles établies avec l'outil « <anon_misc> ». 
Effectuer occasionnellement des sondages téléphoniques selon les besoins de la Société. 
Effectuer des demandes de remboursement à la suite d'une vérification d'un dossier ou de la liste des déchéances rétroactives. 
Annuler ou encaisser des chèques <anon_company> ou d'assurés et demander via la procédure établie l'émission de chèques par l’administration. 
Participer régulièrement à une formation continue pour le perfectionnement des connaissances à maîtriser dans l'exécution des tâches quotidiennes et la transmission des informations aux clients. 
Interpréter les demandes des clients afin de soumettre des suggestions d’amélioration dans la direction. 
Maîtriser les modalités, cibler et référer les assurés aux différents programmes gouvernementaux (SAAQ, CSST, RRQ, CARRA, RAMQ, etc.). 
Participer aux travaux collectifs organisés par la direction. 
Exercer d'autres fonctions sur demande."
Agent de règlement (niveau I) 	"Effectuer l’analyse des renseignements contenus aux dossiers qui lui sont attitrés et pour lesquels peu ou pas d’interventions internes et externes sont nécessaires. Tenir compte des dispositions contractuelles, des preuves médicales et/ou de décès, des programmes gouvernementaux, des politiques et des procédures internes. 
Communiquer principalement par correspondance les décisions prises selon qu’il s’agisse d’une acceptation aux prestations, d’une demande de renseignements additionnels ou d’un refus. 
Effectuer le service à la clientèle pour les dossiers qui lui sont attribués en communiquant avec les assurés, les preneurs et/ou les bénéficiaires afin d’obtenir certains renseignements spécifiques et en répondant à leurs appels le cas échéant. 
Effectuer des tâches techniques pour appuyer la gestion des dossiers qui lui sont attribués. 
Interagir avec les systèmes informatiques pertinents pour mettre à jour les données et effectuer les paiements le cas échéant en tenant compte des particularités propres aux contrats et aux directives internes. 
Acquérir et maintenir de façon proactive une connaissance des outils, des politiques, des processus. 
Soumettre au directeur adjoint toute suggestion visant à améliorer l’efficacité des tâches de son poste. 
Participer aux travaux collectifs organisés par la direction. 
Exercer d’autres fonctions sur demande."
Agent de règlement (niveau II) 	"Effectuer l’analyse de tous les renseignements pertinents à la détermination des obligations de <anon_company> : dispositions contractuelles, preuves médicales, facteurs nonmédicaux, programmes gouvernementaux, législation, politiques et procédures internes. 
Communiquer avec tous les intervenants impliqués aux dossiers afin de rassembler tous les renseignements pertinents et transmettre les décisions et les plans d’action relatifs aux demandes de règlements. 
Faire une sélection et une utilisation judicieuses et appropriées des interventions internes et externes : références des dossiers aux médecins-conseils, au supérieur, à une firme en réadaptation, à un médecin expert, à une firme d’évaluation des capacités résiduelles, à une firme d’enquêtes, au réassureur, etc. 
Interagir avec les mandataires externes de manière à faire respecter les objectifs et les budgets qui leur sont donnés et s’assurer d’une bonne évolution des interventions. 
Effectuer le service à la clientèle pour les dossiers qui lui sont attribués en répondant aux appels de toutes les parties prenantes aux dossiers. 
Élaborer et mettre en œuvre les interventions qui réduisent la durée des invalidités. 
Interagir avec les systèmes informatiques pertinents pour mettre à jour les données et effectuer les paiements le cas échéant en tenant compte des particularités propres aux contrats et aux directives internes. 
Participer, à l’occasion, à des rencontres avec les preneurs afin de procéder à la revue critique de dossiers. 
Recommander des mesures destinées à améliorer les réalisations de la direction principale en matière de service et de productivité. 
Acquérir et maintenir de façon proactive une connaissance des outils, des politiques, des processus, des produits et des services. 
Effectuer certaines tâches techniques et administratives pour appuyer la gestion des dossiers. 
Aider, à l’occasion, les employés moins expérimentés et collaborer à des projets spécifiques. 
Exercer d’autres fonctions sur demande."
Spécialiste en service à la clientèle 	"Analyser des dossiers complexes, réaliser et mettre en place des solutions suite à des interventions auprès des administrateurs, des intermédiaires de marché et des services impliqués. 
Rencontrer et communiquer avec des administrateurs et intermédiaires de marché afin de régler des dossiers complexes. 
Réaliser les activités reliées à la mise en vigueur de dossiers complexes. 
Agir comme personne-ressource auprès des employés de tous les services de l’entreprise concernant les opérations de gestion des contrats. 
Choisir, recueillir, transformer, synthétiser ou adapter des renseignements en provenance de tous les services et organismes gouvernementaux pertinents et les transmettre, selon diverses techniques, aux employés des services de Gestion des contrats et des autres services, s’il y a lieu. 
Maintenir les relations avec les différents fournisseurs de système de paie, partenaires d’affaires, adjudicateurs et TPA afin d’obtenir et transmettre les informations nécessaires aux différents intervenants. 
Réviser des documents soumis par les autres services qui sont destinés aux adhérents et/ou aux administrateurs. 
Rédiger de la documentation destinée aux clients et partenaires d’affaires. Identifier tout changement qui pourrait influencer le modèle d’affaires utilisé avec les clients et partenaires pour le secteur concerné. 
Rédiger et réaliser et assurer le suivi des demandes de support transmises à l’équipe Prime et adhésion – Soutien aux opérations. 
Réaliser des mandats reliés à la gestion du crédit. 
Participer à l’élaboration des programmes de formation. 
Participer activement à différents comités internes ou externes. 
Anticiper et résoudre les problèmes opérationnels pouvant survenir dans son secteur et en informer son directeur sur les actions prises, s’il y a lieu. 
Assumer toute autre responsabilité connexe ou toute autre responsabilité à la demande de son supérieur immédiat."
Disability Management Benefits Agent	"Analyze claims for Short Term and Long Term Disability Insurance benefits taking into account the contractual and medical aspects of particular claim files and ensuring compliance with specific contractual Disability Insurance clauses.
Provide quality customer service to our insureds and group plan administrators in relation to Disability Insurance files and provide general information about Disability Insurance benefits.
Register and open Disability Insurance files.
Calculate benefits payable, taking into account any coordination of benefits and contract specifications.
Obtain the information required to evaluate files (medical file, independent medical evaluation, activity surveillance, tax status, etc.) and provide it to the appropriate departments.
Develop expert knowledge of government programs and refer insureds to programs appropriate to their situation (SAAQ, CSST, QPP and CARRA).
<Determine disability periods for particular case files, using available tools and methods and/or with the assistance of a Disability Advisor or Medical Director, when necessary.
Issue payment and/or make adjustments to ensure the accuracy of the claimant's physical and electronic files.
Evaluate information received and make appropriate decisions based on that information.
Verify and make corrections to files that have not been approved.
Refer certain case files to rehabilitation based on predetermined criteria.
Submit all suggestions that might improve the department's operations to the team leader.
Participate in group work organized within the department.
Carry out any other task, as required."
Spécialiste en gestion de l’invalidité	"Analyser les demandes de prestations d'assurance-salaire jugées complexes selon des critères établis en tenant compte de l'aspect contractuel et des informations médicales du dossier ainsi que de l’environnement de travail et du contexte social de l’assuré. 
Analyser les demandes de prestations de maladies redoutées. 
Assurer le service à la clientèle aux assurés, aux responsables de groupes ainsi qu’aux professionnels de la santé concernant les dossiers dont ils ont la charge. 
Communiquer avec le médecin traitant pour compléter l’information de leur dossier ou pour discuter du traitement. 
À la demande de la directrice adjointe, agir à titre de personne-ressource auprès des employés du service dans leur gestion quotidienne touchant l’évaluation des durées d’invalidité ou d’élaboration de stratégie. 
Identifier toute anomalie procédurale, administrative et contractuelle au niveau de la gestion des dossiers et soumettre des solutions à la directrice adjointe. 
Participer à la préparation et aux rencontres de revues critiques. 
Participer à la préparation de dossiers litigieux pouvant faire l’objet d’une action légale. 
Représenter <anon_company> lors de procédures judiciaires. 
Effectuer la collecte de données, analyser et faire les recommandations afin de répondre aux plaintes reçues des assurés et maintenir le fichier des plaintes à jour. 
Assumer toutes autres responsabilités connexes ou toutes autres responsabilités à la demande de son supérieur immédiat."
Préposé de service aux administrateurs	"Fournir ou demander, par téléphone, entrevue ou correspondance, des informations relatives aux activités de la direction principale - Gestion des contrats. 
Offrir, par écrit ou par téléphone, des services ou produits du <anon_company>. 
Effectuer les recherches nécessaires pour donner suite aux informations demandées par téléphone, entrevue ou correspondance. 
Communiquer avec les autres directions de l'assurance collective, via une procédure établie pour obtenir les renseignements permettant de répondre à la demande de service aux administrateurs. 
Dicter, corriger et signer des lettres. 
Effectuer, occasionnellement, différents travaux dans les divers services de l'administration des contrats selon les besoins des services. 
Gérer ses activités quotidiennes selon les règles établies. 
Effectuer occasionnellement des sondages téléphoniques selon les besoins de la Société. 
Participer régulièrement à une formation continue pour le perfectionnement des connaissances à maîtriser dans l'exécution des tâches quotidiennes et la transmission des informations aux administrateurs. 
Recenser et interpréter les demandes des administrateurs afin de soumettre des suggestions d’amélioration dans la direction. 
Participer aux travaux collectifs organisés par la direction. 
Exercer d'autres fonctions sur demande."
Préposé de service aux administrateurs 	"Fournir ou demander, par téléphone, entrevue ou correspondance, des informations relatives aux activités de la direction principale - Gestion des contrats. 
Offrir, par écrit ou par téléphone, des services ou produits du <anon_company>. 
Effectuer les recherches nécessaires pour donner suite aux informations demandées par téléphone, entrevue ou correspondance. 
Communiquer avec les autres directions de l'assurance collective, via une procédure établie pour obtenir les renseignements permettant de répondre à la demande de service aux administrateurs. 
Dicter, corriger et signer des lettres. 
Effectuer, occasionnellement, différents travaux dans les divers services de l'administration des contrats selon les besoins des services. 
Gérer ses activités quotidiennes selon les règles établies. 
Effectuer occasionnellement des sondages téléphoniques selon les besoins de la Société. 
Participer régulièrement à une formation continue pour le perfectionnement des connaissances à maîtriser dans l'exécution des tâches quotidiennes et la transmission des informations aux administrateurs. 
Recenser et interpréter les demandes des administrateurs afin de soumettre des suggestions d’amélioration dans la direction. 
Participer aux travaux collectifs organisés par la direction. 
Exercer d'autres fonctions sur demande."
Agent de règlement (niveau II) 	"Effectuer l’analyse de tous les renseignements pertinents à la détermination des obligations de <anon_company> : dispositions contractuelles, preuves médicales, facteurs non médicaux, programmes gouvernementaux, législation, politiques et procédures internes. 
Communiquer avec tous les intervenants impliqués aux dossiers afin de rassembler tous les renseignements pertinents et transmettre les décisions et les plans d’action relatifs aux demandes de règlements. 
Faire une sélection et une utilisation judicieuses et appropriées des interventions internes et externes : références des dossiers aux médecins-conseils, au supérieur, à une firme en réadaptation, à un médecin expert, à une firme d’évaluation des capacités résiduelles, à une firme d’enquêtes, au réassureur, etc. 
Interagir avec les mandataires externes de manière à faire respecter les objectifs et les budgets qui leur sont donnés et s’assurer d’une bonne évolution des interventions. 
Effectuer le service à la clientèle pour les dossiers qui lui sont attribués en répondant aux appels de toutes les parties prenantes aux dossiers. 
Élaborer et mettre en œuvre les interventions qui réduisent la durée des invalidités. 
Interagir avec les systèmes informatiques pertinents pour mettre à jour les données et effectuer les paiements le cas échéant en tenant compte des particularités propres aux contrats et aux directives internes. 
Participer, à l’occasion, à des rencontres avec les preneurs afin de procéder à la revue critique de dossiers. 
Recommander des mesures destinées à améliorer les réalisations de la direction principale en matière de service et de productivité. 
Acquérir et maintenir de façon proactive une connaissance des outils, des politiques, des processus, des produits et des services. 
Effectuer certaines tâches techniques et administratives pour appuyer la gestion des dossiers. 
Aider, à l’occasion, les employés moins expérimentés et collaborer à des projets spécifiques. 
Exercer d’autres fonctions sur demande."
Agent de règlement (niveau II) 	"Effectuer l’analyse de tous les renseignements pertinents à la détermination des obligations de <anon_company> : dispositions contractuelles, preuves médicales, facteurs nonmédicaux, programmes gouvernementaux, législation, politiques et procédures internes. 
Communiquer avec tous les intervenants impliqués aux dossiers afin de rassembler tous les renseignements pertinents et transmettre les décisions et les plans d’action relatifs aux demandes de règlements. 
Faire une sélection et une utilisation judicieuses et appropriées des interventions internes et externes : références des dossiers aux médecins-conseils, au supérieur, à une firme en réadaptation, à un médecin expert, à une firme d’évaluation des capacités résiduelles, à une firme d’enquêtes, au réassureur, etc. 
Interagir avec les mandataires externes de manière à faire respecter les objectifs et les budgets qui leur sont donnés et s’assurer d’une bonne évolution des interventions. 
Effectuer le service à la clientèle pour les dossiers qui lui sont attribués en répondant aux appels de toutes les parties prenantes aux dossiers. 
Élaborer et mettre en œuvre les interventions qui réduisent la durée des invalidités. 
Interagir avec les systèmes informatiques pertinents pour mettre à jour les données et effectuer les paiements le cas échéant en tenant compte des particularités propres aux contrats et aux directives internes. 
Participer, à l’occasion, à des rencontres avec les preneurs afin de procéder à la revue critique de dossiers 
Recommander des mesures destinées à améliorer les réalisations de la direction principale en matière de service et de productivité. 
 Acquérir et maintenir de façon proactive une connaissance des outils, des politiques, des processus, des produits et des services. 
 Effectuer certaines tâches techniques et administratives pour appuyer la gestion des dossiers. 
 Aider, à l’occasion, les employés moins expérimentés et collaborer à des projets spécifiques. 
Exercer d’autres fonctions sur demande."
Customer Service Agent	
Agent de règlement (niveau I) 	"Effectuer l’analyse des renseignements contenus aux dossiers qui lui sont attitrés et pour lesquels peu ou pas d’interventions internes et externes sont nécessaires. Tenir compte des dispositions contractuelles, des preuves médicales et/ou de décès, des programmes gouvernementaux, des politiques et des procédures internes. 
Communiquer principalement par correspondance les décisions prises selon qu’il s’agisse d’une acceptation aux prestations, d’une demande de renseignements additionnels ou d’un refus. 
Effectuer le service à la clientèle pour les dossiers qui lui sont attribués en communiquant avec les assurés, les preneurs et/ou les bénéficiaires afin d’obtenir certains renseignements spécifiques et en répondant à leurs appels le cas échéant. 
Effectuer des tâches techniques pour appuyer la gestion des dossiers qui lui sont attribués. 
Interagir avec les systèmes informatiques pertinents pour mettre à jour les données et effectuer les paiements le cas échéant en tenant compte des particularités propres aux contrats et aux directives internes. 
Acquérir et maintenir de façon proactive une connaissance des outils, des politiques, des processus. 
Soumettre au directeur adjoint toute suggestion visant à améliorer l’efficacité des tâches de son poste. 
Participer aux travaux collectifs organisés par la direction. 
Exercer d’autres fonctions sur demande."
Préposé au service à la clientèle	"Fournir ou demander, par téléphone, entrevue ou correspondance, des informations relatives à l'un ou l'autre des services de l'administration de l'assurance de personnes. 
Effectuer les recherches nécessaires pour donner suite aux informations demandées par téléphone, entrevue ou correspondance. 
Communiquer avec les autres directions de l'assurance de personnes, via une procédure établie pour obtenir les renseignements permettant de répondre à la demande de service du client. 
Dicter, corriger et signer ses lettres. 
Participer au réseau téléphonique, mis sur pied lors des campagnes d'inscription, pour fournir les renseignements nécessaires aux assurés. 
Offrir, par écrit ou par téléphone, des services ou produits du <anon_company>. 
Effectuer, occasionnellement, différents travaux dans les diverses directions de l'administration des contrats selon les besoins des directions. 
Gérer ses activités quotidiennes selon les règles établies avec l'outil « <anon_misc> ». 
Effectuer occasionnellement des sondages téléphoniques selon les besoins de la Société. 
Effectuer des demandes de remboursement à la suite d'une vérification d'un dossier ou de la liste des déchéances rétroactives. 
Annuler ou encaisser des chèques <anon_company> ou d'assurés et demander via la procédure établie l'émission de chèques par l’administration. 
Participer régulièrement à une formation continue pour le perfectionnement des connaissances à maîtriser dans l'exécution des tâches quotidiennes et la transmission des informations aux clients. 
Interpréter les demandes des clients afin de soumettre des suggestions d’amélioration dans la direction. 
Maîtriser les modalités, cibler et référer les assurés aux différents programmes gouvernementaux (SAAQ, CSST, RRQ, CARRA, RAMQ, etc.). 
Participer aux travaux collectifs organisés par la direction. 
Exercer d'autres fonctions sur demande."
Spécialiste en service à la clientèle	"Analyser des dossiers complexes, réaliser et mettre en place des solutions suite à des interventions auprès des administrateurs, des intermédiaires de marché et des services impliqués. 
Rencontrer et communiquer avec des administrateurs et intermédiaires de marché afin de régler des dossiers complexes. 
Réaliser les activités reliées à la mise en vigueur de dossiers complexes. 
Agir comme personne-ressource auprès des employés de tous les services de l’entreprise concernant les opérations de gestion des contrats. 
Choisir, recueillir, transformer, synthétiser ou adapter des renseignements en provenance de tous les services et organismes gouvernementaux pertinents et les transmettre, selon diverses techniques, aux employés des services de Gestion des contrats et des autres services, s’il y a lieu. 
Maintenir les relations avec les différents fournisseurs de système de paie, partenaires d’affaires, adjudicateurs et TPA afin d’obtenir et transmettre les informations nécessaires aux différents intervenants. 
Réviser des documents soumis par les autres services qui sont destinés aux adhérents ou aux administrateurs. 
Rédiger de la documentation destinée aux clients et partenaires d’affaires. 
Identifier tout changement qui pourrait influencer le modèle d’affaires utilisé avec les clients et partenaires pour le secteur concerné. 
Rédiger et réaliser et assurer le suivi des demandes de support transmises à l’équipe Prime et adhésion – Soutien aux opérations. 
Réaliser des mandats reliés à la gestion du crédit. 
Participer à l’élaboration des programmes de formation. 
Participer activement à différents comités internes ou externes. 
Anticiper et résoudre les problèmes opérationnels pouvant survenir dans son secteur et en informer son directeur sur les actions prises, s’il y a lieu. 
Assumer toute autre responsabilité connexe ou toute autre responsabilité à la demande de son supérieur immédiat."
